           _                 _    
  __ _  __| |_ __ __ _ _ __ | |_  
 / _` |/ _` | '__/ _` | '_ \| __| 
| (_| | (_| | | | (_| | | | | |_  
 \__, |\__,_|_|  \__,_|_| |_|\__| 
    |_|                           

Version: 1.17.1, build: eabee371
Access web UI at http://localhost:6333/dashboard

2026-05-25T07:07:33.189606Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 88 "-" "python-client/1.17.1 python/3.11.9" 0.004452
2026-05-25T07:07:55.551369Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.004964
2026-05-25T07:07:55.597364Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 63 "-" "python-client/1.17.1 python/3.11.9" 0.005746
2026-05-25T07:07:55.678012Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.024026
2026-05-25T07:08:02.627156Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.004538
2026-05-25T07:08:02.658935Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 83 "-" "python-client/1.17.1 python/3.11.9" 0.002371
2026-05-25T07:08:02.682686Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.005612
2026-05-25T07:08:02.710608Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 82 "-" "python-client/1.17.1 python/3.11.9" 0.001898
2026-05-25T07:08:02.761425Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 63 "-" "python-client/1.17.1 python/3.11.9" 0.005382
2026-05-25T07:08:02.769148Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 83 "-" "python-client/1.17.1 python/3.11.9" 0.001489
2026-05-25T07:08:59.941175Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.017389
2026-05-25T07:08:59.962250Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.005696
2026-05-25T07:08:59.981986Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 82 "-" "python-client/1.17.1 python/3.11.9" 0.004577
2026-05-25T07:09:00.028505Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.007678
2026-05-25T07:09:00.050257Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 83 "-" "python-client/1.17.1 python/3.11.9" 0.004607
2026-05-25T07:09:19.565195Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.007206
2026-05-25T07:09:19.594758Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 82 "-" "python-client/1.17.1 python/3.11.9" 0.007393
2026-05-25T07:09:32.516217Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.028467
2026-05-25T07:09:32.529509Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 82 "-" "python-client/1.17.1 python/3.11.9" 0.005783
2026-05-25T07:09:37.778822Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.022881
2026-05-25T07:09:37.807758Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 83 "-" "python-client/1.17.1 python/3.11.9" 0.006167
2026-05-25T07:09:40.856647Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.008428
2026-05-25T07:09:40.895794Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.005607
2026-05-25T07:09:45.681487Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.021162
2026-05-25T07:09:51.117297Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.043545
2026-05-25T07:09:51.130082Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 83 "-" "python-client/1.17.1 python/3.11.9" 0.005499
2026-05-25T07:09:56.096106Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.008174
2026-05-25T07:10:10.233954Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.010093
2026-05-25T07:10:10.329007Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.009572
2026-05-25T07:10:10.397284Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.024297
2026-05-25T07:10:15.535754Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 61 "-" "python-client/1.17.1 python/3.11.9" 0.007450
2026-05-25T07:10:15.579229Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/scroll HTTP/1.1" 200 83 "-" "python-client/1.17.1 python/3.11.9" 0.007153
2026-05-25T07:10:15.633471Z  INFO actix_web::middleware::logger: 127.0.0.1 "POST /collections/local_life_hybrid_chunks/points/query HTTP/1.1" 200 64 "-" "python-client/1.17.1 python/3.11.9" 0.008269
